cardCategory,sport,year,manufacturer,brand,product,setName,series,cardNumber,subjectName,team,parallel,variation,rookie,autograph,relic,serialNumber,printRun,notes,sourceName,sourceUrl,permissionStatus
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,1,Joe Montana,San Francisco 49ers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,2,Jerry Rice,San Francisco 49ers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,3,Roger Craig,San Francisco 49ers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,4,Ronnie Lott,San Francisco 49ers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,5,John Taylor,San Francisco 49ers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,18,Dan Marino,Miami Dolphins,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,20,John Elway,Denver Broncos,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,34,Boomer Esiason,Cincinnati Bengals,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,42,Randall Cunningham,Philadelphia Eagles,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,44,Eric Dickerson,Indianapolis Colts,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,72,Bo Jackson,Los Angeles Raiders,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,78,Herschel Walker,Dallas Cowboys,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,86,Marcus Allen,Los Angeles Raiders,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,100,Lawrence Taylor,New York Giants,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
